Unique_Namecodes,DeviceName
LE_SRS-XB22,Bluetooth Speaker
i9S,Other
S518,Other
(BLE)Edge 1030 ,Other
COOSPO H6 0004271,Other
iPad di Saba (8),Tablet
PC50079,Other
BlueZ 5.41,Other
BELLA BIONDA,Other
Braceli5-3223,Other
Smart Watch,Wearable (Fitness Tracker)
Versa 2,Wearable (Fitness Tracker)
60351988,Other
Elywally72cel,Other
Audi SILVESTRI,Car
ART0055,Other
OBDII,Car
A80Pro Sandro,Other
KD-55XF8596,TV
TV UE55JU6500,TV
OPPO Find X2 Lite,Smartphone
Mi Smart Band 5,Wearable (Fitness Tracker)
vÃ­voactive HR,Wearable (Fitness Tracker)
B210_73090568,Other
R-net Mouse Module  ,Other
B210_73105781,Other
OPPO Reno Z,Smartphone
MacBook Air,Laptop
redmi Vale,Smartphone
Tile,Bluetooth Tracker
Negozio,Other
MEIZU M6,Smartphone
BT0816,Other
Polar Ignite 6E40272F,Wearable (Fitness Tracker)
MVH-S320BT,Car
TV UE32J5500,TV
Inspire HR,Wearable (Fitness Tracker)
ENVY 5000 series,Printer
LAPTOP-ROD08091,Laptop
TIM_BOX 2272,Other
Redmipalm,Other
OPPO A53s,Smartphone
fenix 3 HR,Wearable (Fitness Tracker)
21226247,Other
Cassa,Bluetooth Speaker
G6,Other
81793230,Other
LG CM2760(77),Other
Mi Band 3,Wearable (Fitness Tracker)
Charge 2,Wearable (Fitness Tracker)
KIOSK,Other
Huawei Manu,Other
HUAWEI Band 4 Pro-4BE,Wearable (Fitness Tracker)
HONOR Band 5-D8D,Wearable (Fitness Tracker)
Amazfit Bip Watch,Wearable (Fitness Tracker)
ari,Other
HUAWEI Band 4-8E4,Wearable (Fitness Tracker)
PH-C52E-1,Other
TP-LINK_Music,Bluetooth Speaker
Mi Phone,Smartphone
Nokia 130,Feature Phone
Forerunner 735XT,Wearable (Fitness Tracker)
TV Samsung 8 Series (55),TV
AlfaPad21790110FEFF,Other
Galaxy Watch Active2(14CC) LE,Wearable (Fitness Tracker)
LE-Bose Free SoundSport,Bluetooth Headphones
Honor 8,Smartphone
LE-Bose QC35 II,Bluetooth Headphones
ALBERTO,Other
TV Televisore,TV
Echo Dot-9MW,Bluetooth Speaker
ID115Plus Color HR,Wearable (Fitness Tracker)
JBL LIVE400BT-LE,Bluetooth Headphones
SumUp 450,Payment Device
XXRBJ155200394,Other
XXRBJ151800329,Other
Honor View 10,Smartphone
MiTV-AESP0 8360,TV
DUDIOS Zeus Ace,Bluetooth Headphones
TVBluetooth,TV
LE-Bose Revolve SoundLink,Bluetooth Speaker
Sofia s Phone,Other
TV Samsung 7 Series (65),TV
Kari,Other
SumUp 776,Payment Device
LG webOS TV UM7100PLB,TV
TV Samsung 6 Series (49),TV
TV UE55JU7500,TV
HUAWEI AURORA ,Smartphone
MacBook Pro di Giovanni,Laptop
EASYWAY-BLE,Other
E7,Other
HONOR Band 5-7B5,Wearable (Fitness Tracker)
LE_SRS-XB41,Bluetooth Speaker
Telefono Mi,Smartphone
TVSamsung LED50,TV
HONOR Band 5-684,Wearable (Fitness Tracker)
Echo Dot-7UM,Bluetooth Speaker
LAPTOP-P9T1D6DN,Laptop
Honor View 10 Lite,Smartphone
DESKTOP-O9NBFLI,Laptop
iNNHiT,Other
HUAWEI FIT-383,Wearable (Fitness Tracker)
FH-X720BT    ,Car
Galaxy Watch (816B) LE,Wearable (Fitness Tracker)
MIBOX4,TV
ID152,Other
OPPO Reno2,Smartphone
matebook-13-di-mattia,Laptop
XXRBJ170901065,Other
TV Samsung,TV
Lo specchio di Venere,Other
honor Band 3-ea2,Wearable (Fitness Tracker)
SEAT BT 5902,Car
25897167,Other
HASHTAGPRINT,Printer
HASHTAGPRINTâs iMac,Desktop PC
ponte,Other
Sony,Other
Chiara,Other
82250075,Other
vÃ­vosmart HR,Wearable (Fitness Tracker)
Hotspot per figa ,Other
Forerunner 935,Wearable (Fitness Tracker)
OPPO A72,Smartphone
VW BT 2364,Car
XXRBJ155200349,Other
COG-91545221A02,Other
IoTivity Service,Other
Ð¡Ð¿Ð°Ð»ÑÐ½Ñ,Other
NY03,Other
LCOG-91545013A01,Other
SMA001d SN 2130046764 SN21300,Other
SMA001d SN 2130056044 SN21300,Other
SMA001d SN 2130055218 SN21300,Other
SMA001d SN 2130055175 SN21300,Other
X1,Other
COG-91545013A01,Other
TV UE48JU7500,TV
HONOR Band 5-FEE,Wearable (Fitness Tracker)
vÃ­vofit 4,Wearable (Fitness Tracker)
ZTE BLADE V8 LITE,Smartphone
TV del soggiorno,TV
TV sament,TV
HUAWEI P smart,Smartphone
my fucking phon,Other
STANMORE II,Bluetooth Speaker
LG webOS TV UN74006LB,TV
Skoda BT 1291,Car
GOLF GIANNI,Car
TV UE48JS8500,TV
Echo Dot-M95,Bluetooth Speaker
Paki_$ku,Other
HUAWEI Mate 10 Pro,Smartphone
MI Band 2,Wearable (Fitness Tracker)
Panasonic KX-TU329,Feature Phone
B210_73168220,Other
Nokia 8110 4G,Smartphone
Pz phone,Smartphone
E2600,Feature Phone
Core-9751C9,Other
ID216,Other
SKYPI_872,Other
EV-04,Other
EMI 2020,Other
OPPO RX17 Neo,Smartphone
BLE_Garmin Drive #394835,Other
imac27âs iMac,Desktop PC
BT58N,Other
Paolo Bonvecchio,Other
HONOR Band 5-BEE,Wearable (Fitness Tracker)
Redmi daria,Smartphone
Prodigio&Milk_D4A2E168834C,Other
LE-Blackout,Other
VW BT 3015,Car
SATELLITE,Other
M2G,Other
LAPTOP-70FG5PF1,Laptop
BT SPEAKER,Bluetooth Speaker
Nokia220,Feature Phone
HP522784,Other
NBScooter2661,Scooter
Galaxy Fitâ (0BCF),Wearable (Fitness Tracker)
1902S023040281,Other
BSA IdleTV,Other
JBL OnBeat Venue LT,Bluetooth Speaker
TIM_BOX 5260,Other
TVSamsung LED46,TV
AUKEY EP-T21,Bluetooth Headphones
Vb1-AgAoEg,Other
Y60,Other
RouterFord e la tavola d oro,Other
realme 6,Smartphone
Nokia 3310 3G,Feature Phone
DCS-8000LH-E432,Other
vĂ­voactive HR,Wearable (Fitness Tracker)
QCOM-BTD,Other
KD-49X8309,TV
60603960,Other
B210_73159445,Other
TVTVAle&Marco,TV
BRC1H 62DCC6,Other
MPOW,Other
9067646C872030A8E9,Other
846B21CCC3A030A8E9,Other
TV UE40JU6400,TV
Forerunner 235,Wearable (Fitness Tracker)
KD-55A1,TV
846B21CCD31230A8E9,Other
TV Samsung 5 Series (49),TV
TV Samsung 5 Series (32),TV
83468549,Other
Echo Show 5-D89,Smart Display
21383653,Other
P5-ZS2,Other
Hisense VIDAA TV,TV
21808764,Other
temperina,Other
SEAT BT 1322,Car
Xpecial Audio,Other
Valeria ,Other
HUAWEI P30 Pro,Smartphone
TIM_BOX 8930,Other
TM-STARK,Other
Riff3,Other
XXRBJ160400857,Other
TVSamsung LED55,TV
sig,Other
X2-01,Feature Phone
SA 400 BT USB AX-APP,Other
My IQOS 3.1,Other
TIM POWER,Other
OPPO A3,Smartphone
61069369,Other
DP_2_0_TOVJT254389,Other
Amazfit GTS,Wearable (Fitness Tracker)
FOX,Other
Ride SenseV01 BAD72F27,Other
ALCATEL ONETOUCH 1052,Feature Phone
DP_2_0_TOVHX278630,Other
ESA_Emanuel,Other
xBeacon,Other
DP_2_1_TOGJY030221,Other
OPPO Reno4 5G,Smartphone
DESKTOP-7MSF0N2,Desktop PC
SA 400 BT USB AX,Other
StireriaVG,Other
LAPTOP-348L7LRS,Laptop
QCY-T5_BLEL,Bluetooth Headphones
TV Samsung Q60 Series (55),TV
Honor 6A,Smartphone
Nokia 301 Dual ,Feature Phone
HUAWEI P smart 2019 Davide ,Smartphone
1850S022034972,Other
HUAWEI WATCH GT-4C4,Wearable (Fitness Tracker)
berto phone,Other
81773552,Other
22475904,Other
B6B7Pro-7258,Other
el negrito,Other
PCPAOLO,Other
82067855,Other
Uwatch 2S,Wearable (Fitness Tracker)
Mac Pro di Stefano ,Desktop PC
TV UE50JU6400,TV
REDMI NOTE OT,Smartphone
CITROEN,Car
Davide Giuliani,Other
ASUS VivoWatch BP,Wearable (Fitness Tracker)
RTL03140,Other
HRM-Dual544036,Wearable (Fitness Tracker)
(BLE)Edge 1030,Other
HRM-Dual545062,Wearable (Fitness Tracker)
Franci,Other
ID205U,Wearable (Fitness Tracker)
Gear S3 (6714) LE,Wearable (Fitness Tracker)
KX-TU150EX,Feature Phone
TV Samsung Q60 Series (43),TV
FMBxx_2089027,Other
KD-43XF8577,TV
Jongo T4 85F5C0,Other
ID205S,Wearable (Fitness Tracker)
OCPcc6 # 113793027,Other
OCPcc6 # 113555005,Other
OCPcc6 # 113555002,Other
OCPcc6 # 113555006,Other
84405562,Other
OCPcc6 # 113555007,Other
82251102,Other
Beolit 15 di Roby,Bluetooth Speaker
TV Samsung 8 Series (49),TV
B210_73160204,Other
iMac di Stefano ,Desktop PC
JBL Bar 2.1,Bluetooth Speaker
MSIBANCO,Other
Nadif,Other
X3,Other
Watch5_LE,Wearable (Fitness Tracker)
Uwatch GT,Wearable (Fitness Tracker)
XXRBJ155200947,Other
D5600_6215833,Other
LAPTOP-AKND7CTI,Laptop
QCY-T5_BLER,Bluetooth Headphones
S74911bf5b93cf814C,Other
PRESIDENT,Other
realme 5 Pro | dana,dana
iMac di Alessandra,Desktop PC
CLIENT-PC,Desktop PC
OPPO Reno,Smartphone
40J193000282,Other
UniDrive2 06405568 v004,Other
starfish,Other
DESKTOP-I187VIO,Desktop PC
AMICO DEL COURE,Other
B210_73144759,Other
Signage Samsung QMR Series,Other
Armor X7 Pro,Smartphone
RedmiLau,Smartphone
LAPTOP-KC914QDM,Laptop
HUAWEI di Fabopisu,Smartphone
21647483,Other
Nokia 206,Feature Phone
JmSmart PRO,Smartphone
OnePlus Buds,Bluetooth Headphones
82003060,Other
312,Other
Mi9,Smartphone
TV camerÄ de familie,TV
LIFEBOOK-PC,Laptop
mehubieragustado,Other
A80Pro,Smartphone
HOLA06,Other
W100_40077177,Other
KIOSK23411,Other
NBScooter0444,Scooter
SumUp 020,Payment Device
vÃ­vosmart 4,Wearable (Fitness Tracker)
Miriam,Other
francesco,Other
EssenzaTwo_009D6B5B04B1,Other
fenix Chronos,Wearable (Fitness Tracker)
B210_73137993,Other
ID128Color HM,Wearable (Fitness Tracker)
60429301,Other
SW018,Other
81387014,Other
OPPO Find X2 Neo,Smartphone
TECKNET F36,Other
GH5200_8272176_LE,Other
HUAWEI Band 4-D2D,Wearable (Fitness Tracker)
B210_73112241,Other
GH5200_8272176,Other
HUAWEI P smart 2020,Smartphone
80595272,Other
83775180,Other
iMac di admin,Desktop PC
TV Samsung The Frame (43),TV
80595224,Other
Hotspot roberta,Other
UNICO MAX,Other
BRAVIA 4K GB ATV3 7446,TV
BRC1H B4E9F4,Other
VW BT 3403,Car
SEAT BT 5468,Car
NAO,Other
23303290,Other
KDL-55W808C,TV
TV Samsung Q6 Series (49),TV
DESKTOP-5V58OVV,Desktop PC
DCS-8100LH-7847,Other
Galaxy Fit (484E),Wearable (Fitness Tracker)
HTZM,Other
20091720-0094,Other
Galaxy Watch (7D1F) LE,Wearable (Fitness Tracker)
Honor 10 Lite,Smartphone
Surge,Wearable (Fitness Tracker)
HUAWEI Band 2-deb,Wearable (Fitness Tracker)
Polar Ignite 5A886526,Wearable (Fitness Tracker)
Galaxy J6,Smartphone
fenix 5s,Wearable (Fitness Tracker)
B01,Other
smartlin,Other
Ionic,Wearable (Fitness Tracker)
Android Bluedroid,Other
HUAWEI P9 lite 2,Smartphone
AVale,Other
A60Pro,Smartphone
KD-55XE8577,TV
OPPO Reno 10x Zoom,Smartphone
Galaxy S8,Smartphone
82559901,Other
KING,Other
i12,Bluetooth Headphones
Galaxy Watch (00B9) LE,Wearable (Fitness Tracker)
fenix 5,Wearable (Fitness Tracker)
K,Other
AM4,Other
BlueUp-03-020148,Other
BlueUp-02-018062,Other
Galaxy Watch (D1D1) LE,Wearable (Fitness Tracker)
Realme X2,Smartphone
Tamy,Other
EML-L09 (982)0,Smartphone
Frida$,Other
AirPods,Bluetooth Headphones
H709,Other
P11,Other
Giorgio s phone,Smartphone
60843926,Other
Polar Ignite 73615121,Wearable (Fitness Tracker)
Galaxy Fit2 (BD79),Wearable (Fitness Tracker)
Windows is coming,Other
HUAWEI TATO,Smartphone
BeoVision Eclipse OLED55C7BOZ,TV
HUAWEI Y6 Pro 2017,Smartphone
YI_M1_db7fd1,Camera
Nokia 216,Feature Phone
XXRBJ151702558,Other
Amazfit Pace-645A,Wearable (Fitness Tracker)
Galaxy Watch (D5B2),Wearable (Fitness Tracker)
81347854,Other
Charge 3,Wearable (Fitness Tracker)
Spartan Sport 182110001255,Wearable (Fitness Tracker)
Belino fritto ti tel WEwww se ,Other
C2-05,Feature Phone
Mate 10 Pro PP,Smartphone
Versa,Wearable (Fitness Tracker)
LE-Bose Micro SoundLink,Bluetooth Speaker
Charge 4,Wearable (Fitness Tracker)
Dome,Other
MO9754,Other
B210_73090563,Other
iPhone,Smartphone
PAT32330,Other
HUAWEI WATCH FIT-C31,Wearable (Fitness Tracker)
sps,Other
Honor 10,Smartphone
Telefono Mi cettola qualunque,Smartphone
XXRBJ191200992,Other
GiÃ¹ box,Other
ID130Plus Color HR,Wearable (Fitness Tracker)
R662,Other
Nokia 301,Feature Phone
Apple TV,TV
TIM_BOX 4111,Other
Nest Cam,Camera
22024761,Other
DCS-8525LH-2552,Camera
HUAWEI Band 4-47D,Wearable (Fitness Tracker)
3273566472,Other
Boja Greenpeace ,Other
realme 5,Smartphone
realme 7 Pro,Smartphone
TS5100 seri,Printer
POP,Smartphone
4eec5d7724b6844f,Other
20352283,Other
Galaxy Fitâ (8E41),Wearable (Fitness Tracker)
SEAT BT 7640,Car
B210_73108897,Other
HUAWEI FIT-819,Smartphone
OPPO AX7,Smartphone
LE_SRS-XB21,Bluetooth Speaker
B3BA1951007601,Other
Madonna ladruncola porcheria,Other
B3BA1951006140,Other
AUDI MMI 1003,Car
SumUp 316,Payment Device
LAPTOP-0G0L8MKM,Laptop
JLR-BLE-Peripheral,Other
vÃ­vosmart HR+,Wearable (Fitness Tracker)
Vb1-AgJe9A,Other
HD 350BT,Other
HUAWEI Band 2-7f9,Wearable (Fitness Tracker)
IT111,Other
JS9,Other
Galaxy A10,Smartphone
JBL LIVE500BT-LE,Bluetooth Headphones
SLB 20 A1,Other
Boy,Other
IWL250 83454204,Other
KG-X09,Other
CR-29054,Other
kilburn,Bluetooth Speaker
iPhone di Lapo,Smartphone
W LA FICA,Other
SGH-E250,Feature Phone
BlueUp-04-016482,Other
BlueUp-04-016488,Other
BlueUp-04-016489,Other
BlueUp-04-016652,Other
BlueUp-04-016487,Other
IWL250 82634125,Other
Giacomo s,Other
CAMEO3-545232R,Other
TV UE40J6200,TV
vÃ­voactive 3 Music,Wearable (Fitness Tracker)
Versa Lite,Wearable (Fitness Tracker)
TV Living room,TV
Marco alpino,Other
BT2448,Other
QCY-T5,Bluetooth Headphones
DP_2_1_TOGKX281753,Other
S4bb4771e7a1de57bC,Other
UDS Roam Gram10-18035145,Other
DESKTOP-IVVFDM8,Desktop PC
realme X2,Smartphone
2e288f62011db01f,Other
OnePlus 8,Smartphone
ad3b55773a40468b,Other
BlazePod,Other
LE-reserved_S,Other
DPX4DAB       ,Car
LE-Bose Revolve+ SoundLink,Bluetooth Speaker
BZXRL0014,Other
Echo Show 5-FW5,Other
TV Samsung Q6 Series (65),TV
Arte Mate 20Pro,Smartphone
SASA 357,Other
TX5 Pro,Other
TV Samsung Q7 Series (55),TV
25217161,Other
Audi MMI 0346,Car
TV Samsung Q7 Series (49),TV
B4E5532288AE33AEE9,Other
LG webOS TV UJ620Vh,TV
VW BT 7581,Car
UE BOOM 2,Bluetooth Speaker
ihoment_H6159_B90E,Other
LG webOS TV UM7390PLC,TV
BLE_F400,Other
LAPTOP-N0O3I1DJ,Laptop
TIM_BOX 6662,Other
LG CM2460(BF),Bluetooth Speaker
TV Samsung Q60 Series (49),TV
KD-55XF9005,TV
W2261070,Other
TV Samsung 7 Series (49),TV
Bluetooth,Other
SONY TV RC MIC 001,TV
YAS-103  Yamaha ,Bluetooth Speaker
KD-43XG8396,TV
TV UE32J5550,TV
Panasonic Viera,TV
Doro Liberto 820 Mini,Smartphone
LAPTOP-BT8C1HU8,Laptop
Salotto,Other
Echo Show 5-V62,Other
DEH-3900BT   ,Car
22268263,Other
AI PONT,Other
E-P132-B1-Slave,Other
TV UE43J5600,TV
846B210E66C630AEE9,Other
Echo Show 5-C5M,Other
fleischdesigner,Other
BRC1H B2ACB5,Other
DCS-8300LH-A6DB,Camera
846B210E677E30AEE9,Other
23892613,Other
KD-49XE9005,TV
TV Kitchen,TV
MacBook Pro,Laptop
Koogeek L3 1a31db,Other
LE-Martin s bose,Bluetooth Speaker
TV Samsung 5 Series (43),TV
ALCATEL ONETOUCH 2004C,Feature Phone
Saa3cd7852d0116e0C,Other
TV Samsung 8 Series (43),TV
LG webOS TV NANO816NA,TV
HUAWEI WATCH GT 2-3D4,Wearable (Fitness Tracker)
Forerunner 920,Wearable (Fitness Tracker)
TomTom GPS Watch,Wearable (Fitness Tracker)
KD-55XG8096,TV
TV Samsung 8 Series (65),TV
Realtek Bluetooth,Other
TV Samsung Q80 Series (55),TV
Helix BSA Bluetooth Device,Other
Uwatch3,Wearable (Fitness Tracker)
HUAWEI P9,Smartphone
TIM_BOX 8978,Other
Skoda BT 8158,Car
TIM_BOX 4811,Other
TIMvision 7346,Other
SEAT BT 5526,Car
BRAVIA 4K GB ATV3,TV
BRAVIA 4K 2015,TV
Echo Dot-DEF,Bluetooth Speaker
HUAWEI WATCH GT-F6C,Wearable (Fitness Tracker)
1926S022043391,Other
amore,Other
KD-43XD8099,TV
Danifon,Other
Computer di Paolo Cerutti,Laptop
HONOR 8S,Smartphone
Salvo samsumg,Other
Edge 520 Plus,Cycling Computer
Bagno,Other
honor 10 lite,Smartphone
UA FP C0F9,Other
OPPO R11,Smartphone
TV Samsung Q70 Series (49),TV
KD-65XG8096,TV
Zona Giorno,Other
LAPTOP-SRKDM8II,Laptop
DTVBluetooth,TV
TV Samsung Q6 Series (55),TV
83510816,Other
N01ST,Other
N00FB,Other
N00DV,Other
Petras Supermaus,Other
E3E-EU-NBA1066A,Other
S245827a40735b20aC,Other
SONY KD-55A8,TV
TV Samsung Frame Series (55,TV
TIM_BOX 7829,Other
B210_73099566,Other
LG webOS TV DFT030C0001,TV
boogies Honor,Other
KD-43XG8096,TV
AV Samsung Soundbar K335 K-S,Bluetooth Speaker
LAPTOP-9ENIN3O1,Laptop
TG-116,Other
DESKTOP-0AKLKOR,Desktop PC
TIMvision 8353,Other
TIM_BOX 9266,Other
Gear Fit2 Pro (68E7),Wearable (Fitness Tracker)
TV Samsung Q7 Series (75),TV
LG-G351,Other
Beoplay M5,Bluetooth Speaker
Babs,Other
OnePlus 6T,Smartphone
KD-43XE8096,TV
TV UE40JU6580,TV
KD-49XD7005,TV
MacBook Pro di Sandro Martigno,Laptop
HUAWEI P20 Pro Michy,Smartphone
UA FP 8344,Other
Eve Degree 10BA,Other
Zona Notte,Other
Galaxy Watch (145F) LE,Wearable (Fitness Tracker)
Prodigio_C385818C9BD7,Other
VW BT 0589,Car
Giordano,Other
E2530,Other
W10P489088,Other
QBELL Android TV,TV
130,Other
135,Other
133,Other
134,Other
TV Samsung camera K,TV
makti,Other
Vb1-AgC7+g,Other
LG CM1560(1D),Bluetooth Speaker
IDTW213R,Other
AVH-Z3200DAB,Car
SC-TMAX9,Other
Hw2ei0y72jjwh0,Other
UBZ-60M8P13,Other
ID107Plus HR,Wearable (Fitness Tracker)
Nokia C7-00,Smartphone
PR BT C7B4,Other
SL610H PRO,Other
KD-55AF8,TV
TSTAK_CONNECT_E741,Other
VS9-EU-NFA6128A,Other
BRAVIA 4K... (083)3,TV
HUAWEI stefi,Smartphone
TV Home,TV
realme 6 Pro,Smartphone
TV UE48J5500,TV
Aromajoy,Other
LG CM2460(1A),Bluetooth Speaker
TIMvision 7312,Other
Spielzimmer,Other
P9 lite Vinci,Smartphone
21728077,Other
BRC1H E80F20,Other
KD-49XG9005,TV
B4E5532D20DC33AEE9,Other
fenix 5x,Wearable (Fitness Tracker)
DP_2_1_TOGJY018237,Other
OnePlus 7T Pro,Smartphone
Galaxy Watch Active (169F) LE,Wearable (Fitness Tracker)
TIMvision 5384,Other
DCS-8010LH-DE19,Camera
MiraScreen BFB806DC,Other
HUAWEI Tn Mkt,Other
ORT2300,Other
LENOVO-PC,Laptop
KD-55AG8,TV
81365902,Other
MEIZU M6T,Smartphone
TV Samsung Q7 Series (65),TV
Polar Vantage M 57082822,Wearable (Fitness Tracker)
Naima,Other
HUAWEI P smart 201900000,Smartphone
Thor E,Other
TVvisi sonia ciccio,TV
TIM_BOX 8027,Other
FABIO-MERATI-X1,Other
Walter,Other
DEH-4400BT,Car
iLamp,Other
A104436,Other
BT Receiver,Other
LG SJ4(B9),Bluetooth Speaker
Rider_530     ,Cycling Computer
OPPO_Devis,Other
OC900-WOK-8060c4,Other
TIM_BOX 0617,Other
1904S023042519,Other
L920_1230089851,Other
BP60A_BE_1400003512,Other
the war,Other
KD-55XE9005,TV
Evoke D2 2950C3,Other
Anker SoundCore,Bluetooth Speaker
Amazfit Bip Lite,Wearable (Fitness Tracker)
